V1,subj_idx,subnum_J,turkId,PrivateID,Direction,PDI,PDI_GROUP,CAPS,CAPS_GROUP,ASI,ASI_GROUP,dospert,DOSPERT_GROUP,samples,SAMPLES_GROUP,ranks,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiDichot,beadsDraws,DTD_GROUP,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,check_match,drift_rate,decision_trheshold,trial,rt,response
206,qgxajp,411,A7P3R1AIA4TVV,1649989,Right,4,LPDI,0,LCAPS,0,LASI,98,HDOSPERT,2.833333333,LSAM,6,1,1,1,0,3,.5,.714285714,.428571429,.428571429,0,1,9,LDTD,90,0,0,0,0,50,0,-.01,1.30875,.9275,.36125,3.2475,.40625,1,3,0,3,False,False,True,.995310644,2.40888339,1,1.394787,.9
2057,uvfxjp,365,A2H8HVANGF4A58,1649991,Left,41,HPDI,27,HCAPS,13,HASI,105,HDOSPERT,5.5,HSAM,6.166666667,1,1,3,70,4,.75,.571428571,.142857143,.857142857,2,4,4,LDTD,50,-3,-5,-2,-10,57,.5,-.4425,.65125,.85125,.09875,5.10375,.37125,0,0,0,3,False,False,True,.006149421,2.006514448,1,1.48087892857143,.607142857142857
3473,yrmiea,802,A2Q7BWWDXGQJQR,1649994,Left,0,LPDI,0,LCAPS,1,LASI,85,HDOSPERT,6.666666667,HSAM,5.166666667,1,1,3,10,3,.25,.714285714,.428571429,.571428571,0,0,12,HDTD,76,0,0,0,0,50.5,.5,-.37375,.365,.5925,.3675,3.36375,.29625,0,1,0,3,False,False,True,1.597526547,2.313953427,1,1.47103866666667,.966666666666667
2443,zzijii,480,A2B93NS1ZZ7QD7,1650000,Left,29,HPDI,0,LCAPS,0,LASI,80,LDOSPERT,5.833333333,HSAM,6,1,1,1,40,5,1,.785714286,.857142857,.142857143,4,4,13,HDTD,60,-2,0,0,-2,52,0,-.43875,.61875,.8,.2225,4.8525,.33375,0,0,0,3,False,False,True,1.834568852,3.005383319,1,1.65030766666667,.9
3414,ewmyig,833,A3N6SBFK109S07,1650011,Right,23,HPDI,17,HCAPS,6,LASI,107,HDOSPERT,6.5,HSAM,5.916666667,1,1,3,0,1,1,.785714286,.428571429,.571428571,2,3,9,LDTD,90,0,0,0,0,59,.5,-.18375,1.32125,.91625,.18375,3.9,.3975,0,3,0,3,False,False,True,-.142836735,1.822891864,1,1.59993379310345,.586206896551724
3793,fjfpnk,357,A13WYZ8AXD6ODX,1650023,Right,54,HPDI,32,HCAPS,9,HASI,96,HDOSPERT,7,HSAM,5.833333333,1,1,1,1,5,.75,.642857143,0,1,6,6,11,HDTD,85,0,0,0,0,50,0,-.64125,.08875,.465,.3675,3.66125,.4175,0,0,0,2,False,False,True,1.622669244,5.496108431,1,2.44999316666667,.966666666666667
2563,etexfx,24,A1VM06KJPJEYUD,1650024,Right,21,LPDI,6,LCAPS,0,LASI,64,LDOSPERT,6,HSAM,6,1,1,3,0,1,1,.785714286,.714285714,.285714286,2,3,8,LDTD,75,-5,-2,-3,-10,57.5,1,-.505,.3875,.6825,.33125,3.85875,.4975,0,0,0,3,False,False,True,.978485968,1.541207615,1,1.0512635,.8
2711,listjc,590,A1SLJKNSNHOJRN,1650025,Right,38,HPDI,25,HCAPS,7,HASI,89,HDOSPERT,6,HSAM,6.5,1,1,3,45,5,.5,.928571429,1,0,4,4,13,HDTD,75,0,0,0,0,50.5,0,-.1875,.96875,.7525,.37125,3.25875,.39625,0,1,0,3,False,False,True,1.019050173,2.139975399,1,1.49305816666667,.966666666666667
2887,bhjnda,457,A3VENK02U0X16N,1650060,Left,27,HPDI,53,HCAPS,4,LASI,64,LDOSPERT,6.166666667,HSAM,6.833333333,0,1,4,5,5,1,.928571429,.857142857,.142857143,4,5,8,LDTD,76,-7,0,-3,-10,58,5.5,-.3325,.86375,.77,.3525,3.99,.41625,0,0,0,3,False,False,True,.546658456,2.81265243,1,2.0744375,.7
1084,nktsrp,991,A1EH9BPKYXFBS5,1650062,Right,10,LPDI,0,LCAPS,7,HASI,120,HDOSPERT,4.666666667,LSAM,5.5,0,1,4,0,4,.75,.928571429,.857142857,.142857143,1,1,9,LDTD,94,0,0,0,0,57.5,0,-.03875,1.41875,1.04125,.3325,3.7725,.45,0,0,1,2,False,False,True,2.828870067,4.163160824,1,1.17947833333333,1
