,PrivateID,Motion choice RT,Motion choice accuracy,Best choice samples,Best choice accuracy,Beads samples,Beads liberal,Beads first rating,Beads prior rating,Beads overadjustment,BADE bias,BADE BACE,BADE response,BADE liberal,PDI,PDI-CAPE,CAPS,ASI,DOSPERT,Cognitive ability - crt,Cognitive Ability verbal,Cognitive ability wordsum,0,1,2,3,4,5,6
52,1652284,1.870948,0.833333333333333,5.0,7.5,10,67,50.5,0.5,-3,0.55125,0.38,3.40125,0.3675,44,7,62,14,95,0.857142857,1.0,0.928571429,1.0733956913416107,0.5118519730347105,0.11287374377475098,0.4509165767298756,0.5565166243423493,0.3701997909122869,1.2601699232901602
53,1653104,2.20084766666667,0.8,5.833333333,7.0,10,50,50.0,0.5,-2,0.995,0.32625,3.9675,0.39875,6,1,8,0,50,0.714285714,1.0,1.0,-0.9161692480435158,-0.11768472879855936,0.5261845794201928,-0.04689234877344356,0.683238090158964,0.09067229741687875,1.0780124563345173
54,1653229,0.757836896551724,0.862068965517241,6.0,4.833333333,12,75,51.0,0.5,-5,1.14,0.22125,4.7225,0.45,22,3,50,10,71,0.857142857,1.0,0.857142857,0.2083246357772836,-0.6053853024335906,0.6375458623568251,0.31364751452528083,-0.24492853495414998,0.9878687462378748,-0.8107056732818821
55,1653334,1.5547955,0.9,6.333333333,6.166666667,12,71,60.0,5.5,-9,0.475,0.315,3.42625,0.37625,38,3,4,6,84,0.857142857,0.75,0.857142857,0.03924829272842792,0.15808714266929014,0.06878706320883941,0.17738994802138575,-0.033053834158612246,0.2711541709993389,0.11009590239077845
56,1653340,1.431597,0.933333333333333,4.666666667,6.5,8,55,50.5,0.5,-4,0.85,0.41125,2.75,0.31625,0,0,0,0,51,1.0,0.75,0.928571429,-1.1907333722564597,1.0712943831928103,0.13411621918367728,-0.11963510240018396,0.6126268006783132,0.4544946415121313,0.7476963466914403
57,1653354,0.648110166666667,0.933333333333333,4.333333333,6.833333333,12,88,73.5,10.0,0,0.6375,0.41375,3.7075,0.38375,29,3,47,17,75,1.0,1.0,0.714285714,0.4554904930224721,1.1405037761328283,0.7772414206589289,-0.15587323932176927,-1.4845381281897065,1.0005236117122813,0.9158077951371932
58,1653359,1.41535111111111,0.777777777777778,4.666666667,6.166666667,8,74,50.5,0.5,-9,0.69875,0.5,3.08,0.41875,24,1,4,0,67,0.714285714,0.75,0.428571429,-0.6744874203738984,1.7963950108549618,0.8932694697307192,0.10333986996717649,0.045440111554830465,-0.41005143972518004,0.6440870032125153
59,1653378,2.07743913793103,0.724137931034483,7.333333333,5.333333333,9,77,49.0,1.0,-30,0.3275,0.2425,4.38375,0.3675,0,0,0,5,57,0.428571429,1.0,0.714285714,-0.8626388284363878,-0.8237902961170118,-0.11125081092215154,0.41813576691531745,-0.5515779186852768,-0.4618019373706039,-0.5731599246407171
60,1653394,2.09966333333333,0.633333333333333,6.5,5.0,14,85,50.5,0.5,0,0.23375,0.35125,3.6525,0.44875,35,4,0,0,96,0.0,0.75,0.857142857,0.001231772448816245,0.33135254039860557,0.36552772725306715,1.1949329688566661,0.23837990719595603,-1.6161311939568992,-0.6016632774892895
61,1653404,0.922794666666667,0.9,5.333333333,5.666666667,3,51,56.0,0.5,0,0.55375,0.3975,3.8525,0.29375,6,0,8,5,78,0.714285714,0.25,0.714285714,-0.8124905981446953,1.0797261904777011,-0.025327209616260116,-1.189515103297975,0.32891042682509625,0.11607623006138962,-0.3621398115368149
62,1653408,2.8679425,0.833333333333333,6.0,5.583333333,3,40,50.0,10.0,0,0.28125,0.1625,4.4975,0.45875,0,0,25,9,89,0.714285714,0.25,0.857142857,-0.7684054343789576,-1.2400319241144129,0.46893427228414836,-1.2505418284753291,0.7538070487350469,-0.5145847868319088,-0.525627928777556
63,1653413,2.65046366666667,0.5,5.833333333,5.666666667,4,66,65.5,8.0,-21,1.25875,0.27875,3.7925,0.49125,43,3,35,17,86,0.714285714,0.0,0.571428571,0.531285515674344,-0.1704094474613458,1.1318671003359604,-0.9279388179611011,-0.4094318077656733,-1.2600192498206324,0.0021895639116526183
64,1653459,1.8137325,0.9,7.333333333,5.75,3,20,57.5,5.5,-10,0.31375,0.3475,3.83625,0.395,40,3,14,6,92,0.857142857,0.25,0.714285714,-0.03290899972807131,0.4602584646141075,0.23417538294715456,-1.8556796963490236,1.3239037347769975,-0.019884818211724834,-0.3450174662326165
65,1653481,0.715919833333333,1.0,4.666666667,6.583333333,8,77,56.0,0.5,0,-0.61375,0.24875,3.4575,0.19625,8,2,33,3,90,0.142857143,0.0,0.5,-0.2673828339006683,-0.1920892053104687,-1.4216092794331285,0.19579263632701818,-0.13792650042303495,-0.7676133805717701,-0.4007762148210974
66,1653654,1.1041335,0.966666666666667,3.166666667,5.666666667,11,70,60.0,5.0,-15,0.53,0.38625,3.45,0.29125,4,1,0,4,60,1.0,0.5,0.928571429,-0.7598254639921359,0.9268852662781761,-0.09735565125705384,-0.11073974328327738,-0.46476909117881227,0.6685909668895338,0.261838813569779
67,1653736,1.51586666666667,0.9,4.666666667,6.166666667,8,55,53.5,0.5,-5,0.22625,0.18375,4.1925,0.23875,71,4,0,6,146,1.0,1.0,1.0,0.6863619293242184,-1.1479273381607804,-1.4530573724915719,-0.3067293087382335,0.925619127752341,1.5403358962675475,-0.14875831497562345
68,1653782,3.10870840909091,0.772727272727273,6.833333333,5.833333333,8,60,50.0,10.0,0,-0.75875,0.3925,3.2875,0.1475,28,2,0,4,70,0.428571429,0.25,0.571428571,-0.3169640831867452,0.4505994086899576,-1.746618145902666,-0.2435860697542466,0.5801672205682483,-1.500329096535751,-0.0580509244421103
69,1653785,1.999696,0.866666666666667,3.333333333,6.583333333,9,63,52.5,1.0,-3,1.10875,0.31,4.01625,0.46375,21,3,0,0,44,0.285714286,0.5,0.5,-0.3493202766319025,-0.026278308803814984,1.013130709094445,0.03568919934562035,0.39553761070567334,-0.774615591345258,0.9238215510948277
