subname_turk,subnum_J,subname_J,age,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiTotal,pdiDichot,beadsDraws,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,dospert,samples,ranks
A3VENK02U0X16N,457,B25MpsmsnMnxjO3zv7,31,0,1,4,5,5,1,.928571429,.857142857,.142857143,4,27,5,8,76,-7,0,-3,-10,58,5.5,-.3325,.86375,.77,.3525,3.99,.41625,0,0,0,3,0,0,64,6.16666666666667,6.83333333333333
A3VL1CBZ3BGQK7,994,Jw5MOH2xnMnEcyczOE,55,1,1,3,98,5,.75,.642857143,.714285714,.285714286,2,20,2,8,88,0,13,28,41,51,1,-.22,.10125,.49375,.385,3.57125,.18125,0,0,0,3,0,0,82,6.33333333333333,5.25
A4CHLWPHZIP7Y,7,sU50gs9TnMnLsgxzpE,39,0,1,3,40,5,1,.857142857,.857142857,.142857143,3,22,2,12,75,-5,0,0,-5,51,.5,-.45,1.14,.8675,.22125,4.7225,.45,0,0,0,3,0,0,71,6,4.83333333333333
A4IH4CO046EV3,532,BB5dY12QnMnD9t3zLy,39,1,1,2,0,5,1,1,1,0,0,0,0,13,100,0,0,0,0,57,0,-.355,.91625,.74875,.3675,3.89875,.44875,0,0,0,3,0,0,117,4.16666666666667,6.5
A4UIXESOEZI05,73,cf5ppwnjnMnr4u0zYe,28,0,1,3,1,5,1,.785714286,1,0,0,0,0,12,81,-4,0,0,-4,54,0,-.5125,.29375,.48625,.44375,3.5475,.29125,0,0,0,3,0,0,62,7.33333333333333,4.58333333333333
A5J0OW727ZCWY,567,965N3tybnMnWcNyzTh,47,0,1,2,100,5,0,.642857143,.571428571,.428571429,2,34,4,3,15,-11,8,-8,-11,58,18,-.54375,.1925,.47875,.35,3.7525,.2675,0,0,0,3,0,0,78,6.16666666666667,5.16666666666667
A70TBKPGWQZO4,184,0w5lQX3gnMnrOD3zE2,29,1,1,1,5,5,.75,1,.857142857,.142857143,8,141,12,12,100,-2,-5,-3,-10,60,.5,-.185,.675,.71625,.4075,3.48,.33125,0,3,0,3,0,0,96,3.16666666666667,6.66666666666667
A7P3R1AIA4TVV,411,Ca5L1VRNnMnn8lXz1C,34,1,1,1,0,3,.5,.714285714,.428571429,.428571429,0,4,1,9,90,0,0,0,0,50,0,-.01,1.30875,.9275,.36125,3.2475,.40625,1,3,0,3,0,0,98,2.83333333333333,6
A7XOIQCYY2YCO,345,BD5dpcgknMntH0OzIK,60,0,1,3,100,4,1,.642857143,.714285714,.285714286,0,23,2,14,80,0,-12,0,-12,50,0,-.23125,1.02125,.77125,.16375,3.65625,.35375,0,0,0,3,0,0,56,4.83333333333333,6.66666666666667
A82Q1HS5CPZ5I,639,Ei5LUj5lnMng02AzGn,27,1,1,2,50,4,.5,.357142857,0,1,4,35,4,14,100,-9,-10,0,-19,71,.5,-.5075,-.31875,.42125,.36875,3.44125,.2925,0,0,0,3,0,0,62,7.66666666666667,4.25
A8E99XNOTT390,676,RF54m7VknMnjWf8zhA,42,0,1,3,15,4,1,.642857143,.714285714,.285714286,2,18,2,9,87,-4,-8,-4,-16,60.5,1,-.60625,-.65,.23125,.38875,3.58,.125,0,0,0,3,0,0,117,4.83333333333333,6.58333333333333
A9IC7BMHIPTYH,373,qP5Pt5lmnMn3AQXzWw,43,0,1,3,50,5,1,.928571429,.571428571,.428571429,3,27,3,11,65,-2,-2,0,-4,50,1,-.38,.7075,.7875,.335,4.2275,.3725,1,0,0,3,0,0,73,2,6.33333333333333
AA8PZKO9XGCKO,910,tx5reYnXnMnitdIzCs,26,0,1,1,30,5,1,1,1,0,12,89,8,22,79,-2,-2,0,-4,54.5,.5,-.2675,1.185,.935,.27625,4.4675,.39375,0,0,0,3,0,0,100,5,6.16666666666667
AADADWJIFVSB1,527,2R5tlClknMnRukdzBb,57,0,1,2,100,1,0,.214285714,.285714286,.428571429,3,58,5,11,86,-1,5,0,4,50.5,0,-.4,.33125,.6175,.4275,3.46625,.37,1,1,0,2,0,0,83,4.66666666666667,6.66666666666667
